Date;days;England;LL;UP
29-may-20;78;0.8;0.7;0.9
05-jun-20;85;0.9;0.7;1.0
12-jun-20;92;0.9;0.8;1.0
19-jun-20;99;0.8;0.7;0.9
26-jun-20;106;0.8;0.7;0.9
03-jul-20;113;0.9;0.8;0.9
10-jul-20;120;0.9;0.8;1.0
17-jul-20;127;0.9;0.8;1.0
24-jul-20;134;0.9;0.8;1.0
31-jul-20;141;0.9;0.8;1.0
07-ago-20;148;0.9;0.8;1.0
14-ago-20;155;0.9;0.8;1.0
21-ago-20;162;1;0.9;1.0
28-ago-20;169;1;0.9;1.1
04-sept-20;176;1;0.9;1.0
11-sept-20;183;1.1;1.0;1.2
18-sept-20;190;1.3;1.2;1.4
25-sept-20;197;1.4;1.2;1.5
02-oct-20;204;1.4;1.2;1.6
09-oct-20;211;1.4;1.2;1.5
16-oct-20;218;1.3;1.2;1.4
23-oct-20;225;1.3;1.2;1.4
30-oct-20;232;1.2;1.1;1.3
06-nov-20;239;1.2;1.1;1.3
13-nov-20;246;1;1.1;1.2
20-nov-20;253;1.1;1.0;1.1
27-nov-20;260;1;0.9;1.0
04-dic-20;267;0.9;0.8;1.0
11-dic-20;274;0.9;0.8;1.0
18-dic-20;281;1.2;1.1;1.3
23-dic-20;286;1.3;1.1;1.4
08-ene-21;302;1.3;1.1;1.4
15-ene-21;309;1.2;1.1;1.3
22-ene-21;316;0.9;0.8;1.0
29-ene-21;323;0.9;0.7;1.0
05-feb-21;330;0.8;0.7;0.9
12-feb-21;337;0.8;0.7;0.9
19-feb-21;344;0.8;0.7;0.9
26-feb-21;351;0.8;0.7;0.9
