areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2020-11-14,1589,198185
overview,United Kingdom,K02000001,2020-11-13,1611,196596
overview,United Kingdom,K02000001,2020-11-12,1870,194985
overview,United Kingdom,K02000001,2020-11-11,1928,193115
overview,United Kingdom,K02000001,2020-11-10,1813,191187
overview,United Kingdom,K02000001,2020-11-09,1730,189374
overview,United Kingdom,K02000001,2020-11-08,1671,187644
overview,United Kingdom,K02000001,2020-11-07,1532,185973
overview,United Kingdom,K02000001,2020-11-06,1393,184441
overview,United Kingdom,K02000001,2020-11-05,1567,183048
overview,United Kingdom,K02000001,2020-11-04,1656,181481
overview,United Kingdom,K02000001,2020-11-03,1491,179825
overview,United Kingdom,K02000001,2020-11-02,1551,178334
overview,United Kingdom,K02000001,2020-11-01,1474,176783
overview,United Kingdom,K02000001,2020-10-31,1454,175309
overview,United Kingdom,K02000001,2020-10-30,1364,173855
overview,United Kingdom,K02000001,2020-10-29,1575,172491
overview,United Kingdom,K02000001,2020-10-28,1477,170916
overview,United Kingdom,K02000001,2020-10-27,1475,169439
overview,United Kingdom,K02000001,2020-10-26,1517,167964
overview,United Kingdom,K02000001,2020-10-25,1419,166447
overview,United Kingdom,K02000001,2020-10-24,1244,165028
overview,United Kingdom,K02000001,2020-10-23,1280,163784
overview,United Kingdom,K02000001,2020-10-22,1267,162504
overview,United Kingdom,K02000001,2020-10-21,1255,161237
overview,United Kingdom,K02000001,2020-10-20,1175,159982
overview,United Kingdom,K02000001,2020-10-19,1088,158807
overview,United Kingdom,K02000001,2020-10-18,1080,157719
overview,United Kingdom,K02000001,2020-10-17,1022,156639
overview,United Kingdom,K02000001,2020-10-16,901,155617
overview,United Kingdom,K02000001,2020-10-15,1033,154716
overview,United Kingdom,K02000001,2020-10-14,976,153683
overview,United Kingdom,K02000001,2020-10-13,1020,152707
overview,United Kingdom,K02000001,2020-10-12,878,151687
overview,United Kingdom,K02000001,2020-10-11,818,150809
overview,United Kingdom,K02000001,2020-10-10,716,149991
overview,United Kingdom,K02000001,2020-10-09,699,149275
overview,United Kingdom,K02000001,2020-10-08,703,148576
overview,United Kingdom,K02000001,2020-10-07,680,147873
overview,United Kingdom,K02000001,2020-10-06,715,147193
overview,United Kingdom,K02000001,2020-10-05,622,146478
overview,United Kingdom,K02000001,2020-10-04,627,145856
overview,United Kingdom,K02000001,2020-10-03,532,145229
overview,United Kingdom,K02000001,2020-10-02,523,144697
overview,United Kingdom,K02000001,2020-10-01,518,144174
overview,United Kingdom,K02000001,2020-09-30,446,143656
overview,United Kingdom,K02000001,2020-09-29,437,143210
overview,United Kingdom,K02000001,2020-09-28,438,142773
overview,United Kingdom,K02000001,2020-09-27,339,142335
overview,United Kingdom,K02000001,2020-09-26,346,141996
overview,United Kingdom,K02000001,2020-09-25,380,141650
overview,United Kingdom,K02000001,2020-09-24,419,141270
overview,United Kingdom,K02000001,2020-09-23,415,140851
overview,United Kingdom,K02000001,2020-09-22,350,140436
overview,United Kingdom,K02000001,2020-09-21,368,140086
overview,United Kingdom,K02000001,2020-09-20,286,139718
overview,United Kingdom,K02000001,2020-09-19,258,139432
overview,United Kingdom,K02000001,2020-09-18,258,139174
overview,United Kingdom,K02000001,2020-09-17,261,138916
overview,United Kingdom,K02000001,2020-09-16,282,138655
overview,United Kingdom,K02000001,2020-09-15,266,138373
overview,United Kingdom,K02000001,2020-09-14,254,138107
overview,United Kingdom,K02000001,2020-09-13,222,137853
overview,United Kingdom,K02000001,2020-09-12,213,137631
overview,United Kingdom,K02000001,2020-09-11,228,137418
overview,United Kingdom,K02000001,2020-09-10,217,137190
overview,United Kingdom,K02000001,2020-09-09,198,136973
overview,United Kingdom,K02000001,2020-09-08,182,136775
overview,United Kingdom,K02000001,2020-09-07,138,136593
overview,United Kingdom,K02000001,2020-09-06,135,136455
overview,United Kingdom,K02000001,2020-09-05,131,136320
overview,United Kingdom,K02000001,2020-09-04,152,136189
overview,United Kingdom,K02000001,2020-09-03,145,136037
overview,United Kingdom,K02000001,2020-09-02,143,135892
overview,United Kingdom,K02000001,2020-09-01,133,135749
overview,United Kingdom,K02000001,2020-08-31,90,135616
overview,United Kingdom,K02000001,2020-08-30,76,135526
overview,United Kingdom,K02000001,2020-08-29,109,135450
overview,United Kingdom,K02000001,2020-08-28,137,135341
overview,United Kingdom,K02000001,2020-08-27,149,135204
overview,United Kingdom,K02000001,2020-08-26,127,135055
overview,United Kingdom,K02000001,2020-08-25,120,134928
overview,United Kingdom,K02000001,2020-08-24,91,134808
overview,United Kingdom,K02000001,2020-08-23,73,134717
overview,United Kingdom,K02000001,2020-08-22,70,134644
overview,United Kingdom,K02000001,2020-08-21,109,134574
overview,United Kingdom,K02000001,2020-08-20,95,134465
overview,United Kingdom,K02000001,2020-08-19,113,134370
overview,United Kingdom,K02000001,2020-08-18,128,134257
overview,United Kingdom,K02000001,2020-08-17,94,134129
