"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 2262412.95672865 2262406.80194981 2262428.14823922 2262360.40842425 2262478.97388515 2262428.13351486 2262358.00271979 2261966.22845576 2258582.59628303 2235629.42290995
"2" 2255076.60063418 2254915.66355359 2254802.89008284 2254779.26694818 2254703.59124207 2254680.07842402 2252809.11220737 2217776.51477083 1991286.00355498 10570970.0664574
"3" 2241758.38835132 2241676.14106325 2241748.83030204 2241763.13838453 2241426.98998655 2236309.96982674 2140029.76615994 2818877.36479811 169856301.658543 1568154048.8539
"4" 2215077.81896357 2214456.72629046 2214573.84733945 2214050.71215517 2208270.40800103 2082448.02372601 4669504.75966415 334662550.32543 2371781567.9099 6891566971.88694
"5" 2144378.54428938 2142792.24400344 2140747.17583784 2134676.27340851 2048514.0316495 3419933.11699739 308536158.502203 1921861766.45288 5034561332.35826 7438724411.45863
"6" 1945784.4599347 1936296.91173452 1927168.74076454 1899724.69928567 1718385.20748109 151300982.089115 1080782490.23925 3047971695.6491 5202582138.03829 7419614683.60504
"7" 2275351.59774486 2357688.7098348 2550390.80132705 3087160.75426123 26250498.0034411 429118874.575025 1399086562.23567 3103775342.1766 5147710794.07023 7323646857.5573
"8" 25002602.4805132 28324941.3465902 34376722.7248484 50282021.7249503 136393132.957677 537472574.700158 1556261704.58867 3149048652.92478 5062677391.90789 7109194566.28867
"9" 372084907.861544 412387776.110419 481032070.700981 606709619.423753 866553611.678962 1412776387.66877 2356261028.77706 3667124200.84283 5222196250.95114 6899042788.71326
"10" 2606802506.00242 2758284475.1426 2967598465.32575 3237771437.91482 3623450363.54096 4141397065.35722 4780433725.0211 5570901802.84602 6458364952.74842 7419221022.9718
